"D
a
t
e","Time
(pdt)","Wind
(mph)","Vis.
(mi.)",Weather,Sky Cond.,Temperature (ºF),,,,"Relative
Humidity","Wind
Chill
(°F)","Heat
Index
(°F)",Pressure,,Precipitation (in.),,
,,,,,,Air,Dwpt,6 hour,,,,,"altimeter
(in)","sea level
(mb)",1 hr,3 hr,6 hr
,,,,,,,,Max.,Min.,,,,,,,,
15,6:47,Calm,4,Overcast with Haze,OVC010,65,60,,,84%,NA,NA,29.99,1015.3,,,
15,5:47,Calm,6,Fog/Mist,BKN009,63,60,,,90%,NA,NA,29.98,1014.8,,,
15,4:47,Calm,7,Overcast,OVC008,63,60,67,63,90%,NA,NA,29.97,1014.5,,,
15,3:47,Calm,8,Mostly Cloudy,BKN008,64,60,,,87%,NA,NA,29.96,1014.1,,,
15,2:47,Calm,9,Overcast,OVC008,64,61,,,90%,NA,NA,29.95,1013.9,,,
15,1:47,Calm,8,Overcast,OVC007,65,61,,,87%,NA,NA,29.95,1014,,,
15,0:47,Vrbl 3,5,Fog/Mist,OVC007,65,62,,,90%,NA,NA,29.96,1014.1,,,
14,23:47,Calm,8,Overcast,OVC007,66,62,,,87%,NA,NA,29.96,1014.2,,,
14,22:47,Calm,8,Mostly Cloudy,BKN008,67,62,76,67,84%,NA,NA,29.95,1013.9,,,
14,21:47,Vrbl 3,10,Fair,CLR,67,62,,,84%,NA,NA,29.95,1013.8,,,
14,20:47,W 5,10,Fair,CLR,68,61,,,78%,NA,NA,29.93,1013.2,,,
14,19:47,Vrbl 3,10,Fair,CLR,71,61,,,71%,NA,NA,29.91,1012.7,,,
14,18:47,Vrbl 3,10,Fair,CLR,75,60,,,60%,NA,NA,29.91,1012.7,,,
14,17:47,Vrbl 3,10,Fair,CLR,75,61,,,62%,NA,NA,29.92,1013,,,
14,16:47,Vrbl 3,10,Fair,CLR,76,62,83,76,62%,NA,78,29.95,1013.8,,,
14,15:47,Vrbl 5,10,Fair,CLR,76,62,,,62%,NA,78,29.96,1014.4,,,
14,14:47,Vrbl 6,10,Fair,CLR,77,61,,,58%,NA,79,29.97,1014.8,,,
14,13:47,Vrbl 5,9,Fair,CLR,79,62,,,56%,NA,80,29.99,1015.2,,,
14,12:47,Calm,7,Fair,CLR,81,63,,,54%,NA,82,29.99,1015.4,,,
14,11:47,S 3,7,Fair,CLR,81,63,,,54%,NA,82,30.01,1015.8,,,
14,10:47,Calm,7,Fair,CLR,78,62,78,65,58%,NA,80,30.01,1016.1,,,
14,9:47,Calm,6,Fair with Haze,CLR,74,62,,,67%,NA,NA,30.01,1016.1,,,
14,8:47,Calm,5,Mostly Cloudy with Haze,BKN011,70,63,,,79%,NA,NA,30.01,1016,,,
14,7:47,Calm,4,Overcast with Haze,OVC009,67,62,,,84%,NA,NA,30.02,1016.2,,,
14,6:47,Calm,4,Fog/Mist,OVC007,66,62,,,87%,NA,NA,30.01,1015.9,,,
14,5:47,Calm,5,Fog/Mist,OVC007,65,62,,,90%,NA,NA,30,1015.6,,,
14,4:47,W 3,7,Overcast,OVC008,65,61,66,64,87%,NA,NA,29.99,1015.1,,,
14,3:47,Calm,8,Fair,CLR,64,60,,,87%,NA,NA,29.97,1014.6,,,
14,2:47,Calm,9,Fair,CLR,64,61,,,90%,NA,NA,29.96,1014.2,,,
14,1:47,Calm,9,Fair,CLR,65,61,,,87%,NA,NA,29.95,1014.1,,,
14,0:47,Calm,10,Fair,CLR,65,61,,,87%,NA,NA,29.96,1014.3,,,
13,23:47,Calm,10,Fair,CLR,66,61,,,84%,NA,NA,29.96,1014.4,,,
13,22:47,Vrbl 3,10,Fair,CLR,66,61,77,66,84%,NA,NA,29.96,1014.3,,,
13,21:47,Calm,10,Fair,CLR,67,62,,,84%,NA,NA,29.96,1014.3,,,
13,20:47,W 3,10,Fair,CLR,68,62,,,81%,NA,NA,29.94,1013.5,,,
13,19:47,Calm,10,Fair,CLR,71,62,,,73%,NA,NA,29.93,1013.2,,,
13,18:47,W 7,10,Fair,CLR,73,62,,,69%,NA,NA,29.92,1012.9,,,
13,17:47,Vrbl 3,10,Fair,CLR,76,63,,,64%,NA,78,29.92,1012.8,,,
13,16:47,Vrbl 3,9,Fair,CLR,77,63,83,77,62%,NA,79,29.93,1013.2,,,
